Date,Open,High,Low,Close,WAP
23-05-12,687.5,689.9,680.35,687.2,685.9501884
24-05-12,692,700,687.5,696.45,694.0978835
25-05-12,696.4,696.6,688.3,692,691.861481
28-05-12,696.4,702.8,692.4,701.2,699.9847659
29-05-12,704.3,709.5,698.25,701.75,704.2864687
30-05-12,701.65,708.9,695.95,706.2,703.2561434
31-05-12,698.6,720.45,682.8,706,692.5752511
01-06-12,707.5,709.4,678,683.7,691.9711918
04-06-12,677.8,696.25,673.5,692.65,686.6121471
05-06-12,696.6,705.6,695,702.25,701.1172704
06-06-12,706.8,715,698.4,714.1,709.1383428
07-06-12,720.25,731.9,716.25,720.7,724.9344932
08-06-12,719,731.95,712.7,729.4,722.5574376
11-06-12,733,736.5,718,721.5,729.7614421
12-06-12,715.7,725.8,714,722.6,721.6229442
13-06-12,723.4,724.25,712.9,716.5,717.1320458
14-06-12,716,720.95,710.8,715.55,715.7178661
15-06-12,718.9,729.4,718.1,726.6,725.4244317
18-06-12,730,734.55,712.95,718.7,720.7842165
19-06-12,717.9,738.9,717,737.25,731.3516241
20-06-12,737.05,742.5,733.15,737.6,737.8172185
21-06-12,734.95,734.95,711.05,718.6,717.1895394
22-06-12,714,715,703.95,711.05,709.6471525
25-06-12,715,722.9,712.3,716.2,717.894045
26-06-12,717.35,725.6,714.5,723.75,720.2473623
27-06-12,726,728.6,717.9,722.9,722.7895325
28-06-12,723,727.7,716.6,719.35,721.9253931
29-06-12,725,740.8,725,737.45,733.9939182
02-07-12,736.1,740.95,730.6,737.45,735.9307908
03-07-12,740.75,742.9,731.3,736,737.2416916
04-07-12,739,740,729.05,734.05,733.321532
05-07-12,735.9,742.2,731.8,738.5,738.409602
06-07-12,739,739,729.65,734.3,733.1703873
09-07-12,728,733.65,726.1,732.05,730.8529621
10-07-12,730.8,741.6,728.1,739.5,737.0831703
11-07-12,735,737.05,722.15,725.7,728.2753829
12-07-12,722.6,729.5,717.45,721.2,723.102656
13-07-12,720.25,726.4,715,718.75,720.1096197
16-07-12,719,724.3,715.5,720.3,720.4177383
17-07-12,725,727.85,717.3,719.15,722.6017425
18-07-12,719.95,721.85,712.6,715.35,715.5883877
19-07-12,720.85,729.2,718,727.75,724.6257421
20-07-12,724.6,728.85,717.45,722.65,723.2952761
23-07-12,713.7,725,713.15,718.75,719.6804757
